id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,35000.0,31792.251105712563,1000.0,908.3500315917876,0.28,1372.0,1246.2562433439325,41913.0,38071.67487410659,1.100897192955017,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,35000.0,31792.251105712563,1000.0,908.3500315917876,0.28,1372.0,1246.2562433439325,41913.0,38071.67487410659,1.100897192955017,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,35000.0,31235.049317332036,1000.0,892.429980495201,0.28,1372.0,1224.4139332394159,41913.0,37404.41777249536,1.1205360889434814,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,35000.0,31792.251105712563,1000.0,908.3500315917876,0.28,1372.0,1246.2562433439325,41913.0,38071.67487410659,1.100897192955017,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,35000.0,32316.90150069306,1000.0,923.3400428769446,0.28,1372.0,1266.822538827168,41913.0,38699.95121710138,1.0830246210098267,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,35000.0,31490.899909678574,1000.0,899.7399974193878,0.28,1372.0,1234.4432764594,41913.0,37710.8025118388,1.1114321947097778,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,35000.0,31490.899909678574,1000.0,899.7399974193878,0.28,1372.0,1234.4432764594,41913.0,37710.8025118388,1.1114321947097778,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,35000.0,31006.501937950725,1000.0,885.9000553700207,0.28,1372.0,1215.4548759676684,41913.0,37130.72902072368,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,35000.0,31235.049317332036,1000.0,892.429980495201,0.28,1372.0,1224.4139332394159,41913.0,37404.41777249536,1.1205360889434814,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,35000.0,31235.049317332036,1000.0,892.429980495201,0.28,1372.0,1224.4139332394159,41913.0,37404.41777249536,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,35000.0,31186.0493597806,1000.0,891.0299817080172,0.28,1372.0,1222.4931349033996,41913.0,37345.739623328125,1.122296690940857,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,35000.0,31235.049317332036,1000.0,892.429980495201,0.28,1372.0,1224.4139332394159,41913.0,37404.41777249536,1.1205360889434814,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,35000.0,31235.049317332036,1000.0,892.429980495201,0.28,1372.0,1224.4139332394159,41913.0,37404.41777249536,1.1205360889434814,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,35000.0,31006.501937950725,1000.0,885.9000553700207,0.28,1372.0,1215.4548759676684,41913.0,37130.72902072368,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,35000.0,31490.899909678574,1000.0,899.7399974193878,0.28,1372.0,1234.4432764594,41913.0,37710.8025118388,1.1114321947097778,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,35000.0,31792.251105712563,1000.0,908.3500315917876,0.28,1372.0,1246.2562433439325,41913.0,38071.67487410659,1.100897192955017,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,35000.0,31006.501937950725,1000.0,885.9000553700207,0.28,1372.0,1215.4548759676684,41913.0,37130.72902072368,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,35000.0,32316.90150069306,1000.0,923.3400428769446,0.28,1372.0,1266.822538827168,41913.0,38699.95121710138,1.0830246210098267,3.0,1.0,60.0,14.0,1.0,2.0
16130931.0,35000.0,31933.300588066133,1000.0,912.3800168018895,0.28,1372.0,1251.7853830521924,41913.0,38240.58364421759,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,4.0
